RiderID,TripNumber,ClipName,ClipFramePath,VideoName,FramePath,Time,Press,Pass_Distance,NearMiss,Seconds,SignedSpeed,Split
26,4,PassingEvent_Duration10s_007937.mp4,PassingEvent_Duration10s_007937,Trip_4.0_GOPR0008.LRV,MPDS_026/Trip_4.0_GOPR0008,00:05:46.440000,0,92.5,1,372,60.0,train
9,7,PassingEvent_Duration10s_002240.mp4,PassingEvent_Duration10s_002240,Trip_7.1_GP010109.LRV,MPDS_009/Trip_7.1_GP010109,00:12:42.789000,0,94.5,1,809,50.0,train
7,6,PassingEvent_Duration10s_001408.mp4,PassingEvent_Duration10s_001408,Trip_6.0_GOPR0017.LRV,MPDS_007/Trip_6.0_GOPR0017,00:08:37.620000,0,165.0,0,554,50.0,train
26,4,PassingEvent_Duration10s_008071.mp4,PassingEvent_Duration10s_008071,Trip_4.1_GP010008.LRV,MPDS_026/Trip_4.1_GP010008,00:07:08.873000,0,99.5,1,480,60.0,train
28,1,PassingEvent_Duration10s_008726.mp4,PassingEvent_Duration10s_008726,Trip_1.0_GOPR2113.LRV,MPDS_028/Trip_1.0_GOPR2113,00:05:55.889000,0,92.0,1,408,60.0,train
61,4,PassingEvent_Duration10s_017332.mp4,PassingEvent_Duration10s_017332,Trip_4.0_GOPR0051.LRV,MPDS_061/Trip_4.0_GOPR0051,00:10:40.899000,1,120.0,0,694,60.0,train
48,9,PassingEvent_Duration10s_013245.mp4,PassingEvent_Duration10s_013245,Trip_9.0_GOPR2143.LRV,MPDS_048/Trip_9.0_GOPR2143,00:13:22.259000,0,81.5,1,818,40.0,train
8,3,PassingEvent_Duration10s_001501.mp4,PassingEvent_Duration10s_001501,Trip_3.0_GOPR0013.LRV,MPDS_008/Trip_3.0_GOPR0013,00:15:23.316000,0,158.0,0,942,40.0,train
38,7,PassingEvent_Duration10s_011457.mp4,PassingEvent_Duration10s_011457,Trip_7.2_GP022128.LRV,MPDS_038/Trip_7.2_GP022128,00:04:48.443000,0,47.5,1,315,60.0,train
62,3,PassingEvent_Duration10s_018132.mp4,PassingEvent_Duration10s_018132,Trip_3.1_GP010058.LRV,MPDS_062/Trip_3.1_GP010058,00:10:10.933000,0,106.0,1,666,80.0,train
8,11,PassingEvent_Duration10s_001646.mp4,PassingEvent_Duration10s_001646,Trip_11.0_GOPR0025.LRV,MPDS_008/Trip_11.0_GOPR0025,00:11:55.945000,0,139.0,0,772,60.0,train
1,1,PassingEvent_Duration10s_000283.mp4,PassingEvent_Duration10s_000283,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:13:02.422000,0,177.0,0,807,60.0,train
41,2,PassingEvent_Duration10s_006415.mp4,PassingEvent_Duration10s_006415,Trip_2.1_GP010041.LRV,MPDS_041/Trip_2.1_GP010041,00:08:35.170000,0,72.5,1,525,40.0,train
8,4,PassingEvent_Duration10s_001513.mp4,PassingEvent_Duration10s_001513,Trip_4.1_GP010018.LRV,MPDS_008/Trip_4.1_GP010018,00:09:07.202000,0,248.0,0,559,50.0,train
