button_press_id,MP_Mannual review of button press footage,RiderId,TripNumber,EventType,clipfile,VideoFile,FrameMinutes,MilliSeconds,PassDistance,ButtonPress,VehicleType,Location,BikeLane,ParkedCar,Review,timestamp,latitude,longitude
1,correct,1,1,Pass,ButtonPressEvent_Duration10s_000001.mp4,Trip_1.2_GP020006.LRV,00:11:23,2796433,69.0,Yes,Truck,MidBlock,No,Yes,,,,
2,correct,5,3,Pass,ButtonPressEvent_Duration10s_000002.mp4,Trip_3.0_GOPR0023.LRV,00:16:05.760000,950632,51.5,Yes,Bus,MidBlock,Yes,No,,2017-04-23T23:28:52Z,-37.810144,144.969344
3,Correct,7,1,Pass,ButtonPressEvent_Duration10s_000003.mp4,Trip_1.0_GOPR0011.LRV,00:01:22.751000,74491,66.0,Yes,Sedan,MidBlock,Yes,Yes,,2017-04-26T07:44:54Z,-37.84851,144.980248
4,Correct,7,1,Pass,ButtonPressEvent_Duration10s_000004.mp4,Trip_1.0_GOPR0011.LRV,00:03:34.939000,206591,71.0,Yes,Sedan,MidBlock,No,No,,2017-04-26T07:47:07Z,-37.850776,144.985172
5,Correct,7,8,Pass,ButtonPressEvent_Duration10s_000005.mp4,Trip_8.3_GP030020.LRV,00:05:24.857000,3499711,75.0,Yes,Sedan,MidBlock,No,No,,2017-04-30T23:40:54Z,-37.81426,144.97148
6,Correct,7,1,Pass,ButtonPressEvent_Duration10s_000006.mp4,Trip_1.0_GOPR0011.LRV,00:07:58.414000,469891,76.0,Yes,Sedan,MidBlock,No,No,,2017-04-26T07:51:30Z,-37.853366,145.004554
7,Correct,7,2,Pass,ButtonPressEvent_Duration10s_000007.mp4,Trip_2.1_GP010013.LRV,00:05:13.822000,1365302,89.0,Yes,Other,MidBlock,No,No,,2017-04-26T23:09:27Z,-37.872653,145.100021
8,Correct,7,9,Pass,ButtonPressEvent_Duration10s_000008.mp4,Trip_9.3_GP030021.LRV,00:00:07.288000,3183123,100.0,Yes,Sedan,MidBlock,No,No,,,,
9,Correct,7,9,Pass,ButtonPressEvent_Duration10s_000009.mp4,Trip_9.3_GP030021.LRV,00:00:23.599000,3199423,100.0,Yes,Sedan,Intersection Related,No,No,,,,
10,correct,7,5,Pass,ButtonPressEvent_Duration10s_000010.mp4,Trip_5.0_GOPR0016.LRV,00:01:06.100000,59121,114.0,Yes,Sedan,MidBlock,No,No,,2017-04-27T09:38:23Z,-37.876642,145.149978
11,Correct,9,9,Pass,ButtonPressEvent_Duration10s_000011.mp4,Trip_9.3_GP030111.LRV,00:02:32.753000,3328931,32.5,Yes,Sedan,Intersection Related,No,No,,2017-05-11T22:26:11Z,-37.84478,144.978875
12,Correct,9,4,Pass,ButtonPressEvent_Duration10s_000012.mp4,Trip_4.2_GP020105.LRV,00:04:56.429000,2415286,58.5,Yes,Sedan,MidBlock,No,No,,2017-05-08T08:50:39Z,-37.80748,144.903107
13,Correct,9,5,Pass,ButtonPressEvent_Duration10s_000013.mp4,Trip_5.0_GOPR0106.LRV,00:14:31.877000,865430,83.5,Yes,4WD,MidBlock,No,No,,2017-05-08T22:20:37Z,-37.814442,144.89773
14,Correct,9,9,Pass,ButtonPressEvent_Duration10s_000014.mp4,Trip_9.0_GOPR0111.LRV,00:16:01.126000,952221,119.5,Yes,4WD,MidBlock,Yes,No,,2017-05-11T21:46:33Z,-37.808696,144.902563
15,Correct,9,5,Pass,ButtonPressEvent_Duration10s_000015.mp4,Trip_5.1_GP010106.LRV,00:02:12.593000,1188331,121.5,Yes,Sedan,MidBlock,No,No,,2017-05-08T22:25:59Z,-37.804552,144.904442
16,Correct,9,9,Pass,ButtonPressEvent_Duration10s_000016.mp4,Trip_9.0_GOPR0111.LRV,00:16:08.431000,959521,136.5,Yes,4WD,MidBlock,No,Yes,,2017-05-11T21:46:41Z,-37.808163,144.902804
17,Correct,10,1,Pass,ButtonPressEvent_Duration10s_000017.mp4,Trip_1.0_GOPR0034.LRV,00:07:57.940000,469841,71.0,Yes,Taxi,MidBlock,No,Yes,,2017-05-05T03:11:52Z,-37.835416,144.974892
18,correct,11,7,Pass,ButtonPressEvent_Duration10s_000018.mp4,Trip_7.1_GP012422.LRV,00:08:30.191000,1258146,81.0,Yes,Sedan,MidBlock,No,Yes,,2017-05-16T22:44:17Z,-37.741482,144.902673
19,correct,11,7,Pass,ButtonPressEvent_Duration10s_000019.mp4,Trip_7.1_GP012422.LRV,00:17:36.655000,1804246,87.0,Yes,Other,MidBlock,No,No,,2017-05-16T22:53:24Z,-37.718313,144.891924
20,correct,11,8,Pass,ButtonPressEvent_Duration10s_000020.mp4,Trip_8.1_GP012423.LRV,00:10:08.130000,1655943,89.0,Yes,4WD,MidBlock,No,No,,2017-05-17T07:52:55Z,-37.758197,144.941059
21,correct,11,7,Pass,ButtonPressEvent_Duration10s_000021.mp4,Trip_7.1_GP012422.LRV,00:16:49.623000,1757246,91.0,Yes,Sedan,MidBlock,No,No,,2017-05-16T22:52:37Z,-37.721512,144.891413
